title,director,cast,country,date_added,release_year,listed_in,description,platform
magic camp,['mark waters'],"['adam devine', ' gillian jacobs', ' nathaniel mcintyre', ' jeffrey tambor', ' cole sand', ' isabella crovetti']",['united states'],"august 14, 2020",2020,"['comedy', ' family']",a group of misfit campers help a down-on-his-luck magician rediscover his love of magic.,disney_plus
marvel studios' ant,['peyton reed'],"['paul rudd', ' evangeline lilly', ' michael peña', ' walton goggins', ' hannah john-kamen', ' david dastmalchian']",['united states'],"august 14, 2020",2018,"['action-adventure', ' comedy', ' science fiction']",ant-man and the wasp must join forces to uncover secrets from the past.,disney_plus
nature boom time,[],"['charlie engelman', ' kirby engelman', ' patrick rahill']",['united states'],"august 14, 2020",2016,"['animals & nature', ' docuseries', ' kids']","charlie, kirby, and patrick travel around the u.s. to learn about what makes nature awesome.",disney_plus
sam's zookeeper challenge,[],['sam peltz'],['united states'],"august 14, 2020",2018,"['animals & nature', ' docuseries', ' family']",sam is put to the test to care for animals in “zookeeper’s challenge.”,disney_plus
scuba sam's world,[],['sam peltz'],['united states'],"august 14, 2020",2018,"['animals & nature', ' docuseries', ' kids']",take a deep dive and learn all about the beloved sea animals in our oceans!,disney_plus
spaced out,[],['ben detour'],[],"august 14, 2020",2018,"['docuseries', ' kids']",learn about our universe through imagery taken from the hubble space telescope.,disney_plus
the greatest showman,['michael gracey'],"['hugh jackman', ' zac efron', ' michelle williams', ' rebecca ferguson', ' zendaya ', ' keala settle']",['united states'],"august 14, 2020",2017,"['biographical', ' drama', ' family']",a bold and original musical celebrating the birth of show business and dreams coming to life.,disney_plus
weird but true!,[],"['charlie engelman', ' kirby engelman']",['united states'],"august 14, 2020",2017,"['animals & nature', ' kids', ' variety']","come along as we reveal fun, strange & surprising facts about our world in weird but true!",disney_plus
wild cats of india,[],['james murray'],['united states'],"august 14, 2020",2020,"['animals & nature', ' docuseries', ' family']",journey across the country’s landscapes to paint an intimate portrait of india's wild cats.,disney_plus
howard,['don hahn'],['howard ashman'],['united states'],"august 7, 2020",2020,"['biographical', ' documentary', ' music']","“howard” is the untold story of howard ashman, the brilliant lyricist behind disney classics.",disney_plus
prince of persia,['mike newell'],"['jake gyllenhaal', ' ben kingsley', ' gemma arterton', ' alfred molina', ' richard coyle', ' toby kebbell']",['united states'],"august 7, 2020",2010,"['action-adventure', ' fantasy']",a rogue prince and rival princess safeguard a magical dagger with the power to reverse time.,disney_plus
star wars,[],"['neil harris', ' kaley cuoco', ' oscar isaac', ' sarah hyland', ' keegan-michael key', ' jay leno']",['united states'],"august 7, 2020",2019,"['documentary', ' family']",celebrating disney’s new land that brings star wars to life!,disney_plus
the hidden kingdoms of china,"['ben wallis', ' emma fraser', ' jess tombs']",['michelle yeoh'],['united states'],"august 7, 2020",2020,"['animals & nature', ' documentary', ' family']",the hidden kingdoms of china takes audiences into the secret wilds of china.,disney_plus
the peanuts movie,['steve martino'],"['noah schnapp', ' alex garfin', ' hadley miller', ' mariel sheets', ' venus schultheis', ' noah johnston']",['united states'],"august 7, 2020",2015,"['animation', ' comedy', ' family']","snoopy takes to the skies against the red baron, while his pal, charlie brown, begins an epic quest.",disney_plus
ufo europe,[],['robert ashby'],[],"august 7, 2020",2012,"['docuseries', ' reality']",a selection of stories featuring encounters and sightings of the unexplained.,disney_plus
animal showdown,[],['brian peck'],[],"july 31, 2020",2018,"['animals & nature', ' docuseries', ' family']",animals face-off in this surprising competition of the toughest and biggest in the animal kingdom.,disney_plus
best job ever,[],[],[],"july 31, 2020",2018,"['animals & nature', ' docuseries', ' family']",check out the cool jobs nat geo explorers do every day!,disney_plus
big cat games,['jeremy turner'],['boone smith'],[],"july 31, 2020",2015,"['animals & nature', ' family', ' reality']","boone smith hosts a feline showdown as lion, tiger and cheetah battle for top cat title.",disney_plus
black is king,['beyoncé knowles-carter'],['beyoncé knowles-carter'],['united states'],"july 31, 2020",2020,"['dance', ' music', ' musical']","this visual album from beyoncé reimagines lessons of ""the lion king"" for young kings and queens.",disney_plus
cradle of the gods,['tim conrad'],['tim conrad'],['united kingdom'],"july 31, 2020",2012,"['documentary', ' historical']","located on a hilltop sanctuary, g – bekli tepe in turkey is the world's first known temple.",disney_plus
destination world,[],['rick robles'],[],"july 31, 2020",2018,"['animals & nature', ' docuseries', ' kids']",check out the continents and find out what makes them unique from each other!,disney_plus
fearless adventures with jack randall,[],['jack randall'],[],"july 31, 2020",2018,"['animals & nature', ' docuseries', ' family']",check out jack randall go head-to-head with all kinds of critters.,disney_plus
hunt for the abominable snowman,['dan oliver'],['stephen rashbrook'],[],"july 31, 2020",2011,['documentary'],"across the himalayas are stories of the yeti, or abominable snowman.",disney_plus
incredibles 2,['brad bird'],"['craig nelson', ' holly hunter', ' sarah vowell', ' huckleberry milner', ' catherine keener', ' eli fucile']",['united states'],"july 31, 2020",2018,"['action-adventure', ' animation', ' family']",the incredibles spring into action when a dangerous new villain emerges.,disney_plus
king fishers,[],['stephen mangan'],['united kingdom'],"july 31, 2020",2013,"['action-adventure', ' animals & nature', ' docuseries']","with so many fishermen and so many fishing disciplines, who is best?",disney_plus
lost temple of the inca,['jim aikman'],['dan nachtrab'],['united states'],"july 31, 2020",2020,['documentary'],a scientist discovers artifacts in peru that could lead him to one of the country’s missing temples.,disney_plus
marvel funko shorts,[],[],[],"july 31, 2020",2016,"['action-adventure', ' animation', ' anthology']",marvel and funko present pop! style marvel heroes.,disney_plus
muppets now,[],"['dave goelz', ' matt vogel', ' david rudman', ' peter linz', ' bill barretta', ' eric jacobson']",['united states'],"july 31, 2020",2020,"['comedy', ' family', ' lifestyle']",the muppets have a brand-new series ready to stream… but only if they can upload it in time.,disney_plus
surviving the mount st. helens disaster,['sophie harris'],['bill ratner'],['united kingdom'],"july 31, 2020",2020,"['animals & nature', ' documentary']",eyewitness accounts and rare images chart the violent 1980 eruption of mount st. helens.,disney_plus
what sam sees,[],['sam peltz'],[],"july 31, 2020",2018,"['animals & nature', ' docuseries', ' family']","join sam on an underwater journey and learn about sharks, eels, and more!",disney_plus
pirates of the caribbean,"['joachim rønning', ' espen sandberg']","['johnny depp', ' javier bardem', ' brenton thwaites', ' kaya scodelario', ' kevin mcnally', ' golshifteh farahani']",['united states'],"july 24, 2020",2017,"['action-adventure', ' fantasy']",captain jack sparrow searches for the trident of poseidon.,disney_plus
pj masks (shorts),[],[],[],"july 24, 2020",2017,"['action-adventure', ' animation', ' kids']",the pj masks are protecting the city from villains!,disney_plus
rogue trip,[],"['bob woodruff', ' mack woodruff']",[],"july 24, 2020",2020,"['buddy', ' docuseries']",bob woodruff and his son travel the world searching for beauty and adventure in unexpected places.,disney_plus
wild congo,[],['corey johnson'],[],"july 24, 2020",2014,"['animals & nature', ' docuseries', ' family']",the congo: the most mysterious river in the dark heart of africa.,disney_plus
wild sri lanka,[],['paul mcgann'],['united kingdom'],"july 24, 2020",2016,"['animals & nature', ' docuseries']",this three-part series reveals the spectacular nature and amazing wildlife of sri lanka.,disney_plus
a pre,['wilfred jackson'],"['walt disney', ' winston hibler']",['united states'],"july 17, 2020",1955,"['documentary', ' family', ' historical']",walt provides a look at the details needed to get the park ready to open. see details for advisory.,disney_plus
diary of a wimpy kid,['david bowers'],"['jason drucker', ' alicia silverstone', ' tom scott', ' charlie wright', ' owen asztalos', ' dylan walters']",['united states'],"july 17, 2020",2017,"['comedy', ' family']",a trip to meemaw’s 90th birthday takes a detour due to greg’s scheme to attend a gaming convention!,disney_plus
disney junior music lullabies,[],[],[],"july 17, 2020",2018,"['animation', ' kids', ' music']",disney junior songs reimagined as calming lullabies.,disney_plus
lost city of machu picchu,[],['craig sechler'],['united states'],"july 17, 2020",2019,"['documentary', ' family']",who were the mysterious people who built machu picchu and why?,disney_plus
super robot monkey team hyperforce go!,[],"['greg cipes', ' kevin michael\trichardson', ' tom kenny', ' kari wahlgren', ' clancy brown', ' corey feldman']","['united states', ' japan']","july 17, 2020",2004,"['action-adventure', ' animation', ' anime']",chiro and a team of five robot monkeys defend shuggazoom city against skeleton king and his minions.,disney_plus
the mouseketeers at walt disney world,['john tracy'],"['jo worley', ' ronnie schell', ' dennis underwood', ' leslie norris', ' billy attmore', ' scott craig']",['united states'],"july 17, 2020",1977,"['coming of age', ' drama', ' family']",the mouseketeers arrive to perform at walt disney world. see details for advisory.,disney_plus
wild chile,[],['peter venn'],['united kingdom'],"july 17, 2020",2017,"['animals & nature', ' docuseries', ' family']",this beautiful and intriguing blue-chip series explores the incredibly varied wildlife of chile.,disney_plus
x,['bryan singer'],"['james mcavoy', ' michael fassbender', ' jennifer lawrence', ' oscar isaac', ' nicholas hoult', ' rose byrne']",['united states'],"july 17, 2020",2016,"['action-adventure', ' family', ' science fiction']","apocalypse, the most powerful mutant in the universe, tries to destroy all of mankind.",disney_plus
cosmos,[],"['neil tyson', ' stoney emshwiller']",['united states'],"july 10, 2020",2013,"['action-adventure', ' docuseries', ' family']",a 13-part adventure across the universe of space and time.,disney_plus
hamilton,[],"['lin-manuel miranda', ' thomas kail', ' christopher jackson', ' leslie odom jr.', ' phillipa soo', ' renee goldsberry']",['united states'],"july 10, 2020",2020,"['historical', ' musical']","robin roberts hosts a discussion with lin-manuel miranda, thomas kail, and original cast members.",disney_plus
solo,['ron howard'],"['alden ehrenreich', ' woody harrelson', ' emilia clarke', ' donald glover', ' thandie newton', ' phoebe waller-bridge']",['united states'],"july 10, 2020",2018,"['action-adventure', ' crime', ' science fiction']",witness the beginning of the star wars saga's most unlikely hero.,disney_plus
x,['bryan singer'],"['hugh jackman', ' james mcavoy', ' michael fassbender', ' jennifer lawrence', ' halle berry', ' nicholas hoult']","['united states', ' united kingdom', ' canada']","july 10, 2020",2014,"['action-adventure', ' family', ' science fiction']",characters from the x-men trilogy join their younger selves to change the past and save our future.,disney_plus
the undefeated presents,[],"['lin-manuel miranda', ' thomas kail', ' renee goldsberry', ' leslie odom jr.', ' daveed diggs', ' phillipa soo']",['united states'],"july 5, 2020",2020,"['historical', ' musical']",the undefeated presents: hamilton in-depth is a roundtable discussion with 9 stars and the director.,disney_plus
animal er,[],['dr. brian beale'],['united states'],"july 3, 2020",2016,"['animals & nature', ' docuseries', ' family']",animal er brings you up close to the bleeding edge of animal care.,disney_plus
diary of a wimpy kid,['david bowers'],"['zachary gordon', ' devon bostick', ' rachael harris', ' robert capron', ' steve zahn']",['united states'],"july 3, 2020",2011,"['comedy', ' family']","in 7th grade, greg must bond with his brother, rodrick while also impressing the new girl in town.",disney_plus
hamilton,['thomas kail'],"['daveed diggs', ' renée goldsberry', ' jonathan groff', ' christopher jackson', ' jasmine jones', ' lin-manuel miranda']",['united states'],"july 3, 2020",2020,"['biographical', ' historical', ' musical']",the filmed version of broadway original “hamilton” that soars in music and tale.,disney_plus
ice age,['mike thurmeier'],"['ray romano', ' john leguizamo', ' denis leary', ' adam devine', ' jesse ferguson', ' max greenfield']","['united states', ' united kingdom', ' australia']","july 3, 2020",2016,"['action-adventure', ' animation', ' comedy']","when their world is threatened, manny and friends go on a quest to survive the scrat-tastrophe!",disney_plus
race to witch mountain,['andy fickman'],"['dwayne johnson', ' annasophia robb', ' carla gugino', ' ciarán hinds', ' alexander ludwig', ' tom scott']",['united states'],"july 3, 2020",2009,"['action-adventure', ' family', ' science fiction']",a las vegas cab driver helps two aliens disguised as teens get home to save their planet... and ours.,disney_plus
the big green,['holly sloan'],"['steve guttenberg', "" olivia d'abo"", ' jay sanders', ' john terry', ' chauncey leopardi', ' patrick renna']",['united states'],"july 3, 2020",1995,"['comedy', ' family', ' sports']",a group of bored misfits become local soccer heroes in a sleepy texas town.,disney_plus
the mighty ducks,['stephen herek'],"['emilio estevez', ' joss ackland', ' lane smith', ' heidi kling', ' josef sommer', ' joshua jackson']",['united states'],"july 3, 2020",1992,"['comedy', ' drama', ' sports']",a hotshot lawyer reluctantly coaches a hapless pee wee hockey team.,disney_plus
while you were sleeping,['jon turteltaub'],"['sandra bullock', ' bill pullman', ' peter gallagher', ' peter boyle', ' glynis johns', ' micole mercurio']",['united states'],"july 3, 2020",1995,"['comedy', ' drama', ' romance']",a lonely subway worker is mistaken for a comatose man's finacée.,disney_plus
disney a.n.t. farm,[],"['china mcclain', ' sierra mccormick', ' jake short', ' stefanie scott', ' carlon jeffery']",['united states'],"june 26, 2020",2011,"['comedy', ' coming of age', ' music']",chyna sparks and her friends are the newest members of the a.n.t. program.,disney_plus
into the unknown,[],"['kristen bell', ' idina menzel', ' josh gad', ' jonathan groff', ' jennifer lee', ' chris buck']",['united states'],"june 26, 2020",2020,"['docuseries', ' family']","for the first time, go behind-the-scenes into the making of the #1 animated film, frozen 2.",disney_plus
man in space,['ward kimball'],"['walt disney', ' dick tufeld', ' ward kimball', ' willy ley', ' dr. heinz haber', ' dr. wernher von braun']",['united states'],"june 26, 2020",1955,"['documentary', ' family']","from the tv series disneyland, a look at the history of space travel. see details for advisory.",disney_plus
mars and beyond,['ward kimball'],"['walt disney', ' paul frees', ' dr. ernst stuhlinger', ' dr. wernher von braun', ' dr. e.c. slipher']",['united states'],"june 26, 2020",1957,"['animation', ' documentary', ' family']",an animated look at humankind's early views of the universe and life on mars.,disney_plus
marvel studios' avengers,"['anthony russo', ' joe russo']","['robert downey jr.', ' chris hemsworth', ' mark ruffalo', ' chris evans', ' scarlett johansson', ' don cheadle']",['united states'],"june 26, 2020",2018,"['action-adventure', ' fantasy', ' science fiction']",the avengers must be willing to sacrifice all to defeat thanos.,disney_plus
tarzan,"['kevin lima', ' chris buck']","['tony goldwyn', ' minnie driver', ' glenn close', ' alex linz', "" rosie o'donnell"", ' brian blessed']",['united states'],"june 26, 2020",1999,"['action-adventure', ' animation', ' coming of age']","adopted by gorillas, tarzan’s life changes forever when he meets other humans.",disney_plus
tarzan ii,['brian smith'],"['harrison chad', ' george carlin', ' brad garrett', ' ron perlman', ' estelle harris', ' glenn close']",['united states'],"june 26, 2020",2005,"['action-adventure', ' animation', ' coming of age']",young tarzan decides his ape family would be better off without him.,disney_plus
101 dalmatians (series),[],"['jeff bennett', ' christine cavanaugh', ' tara charendoff', ' jim cummings', ' tress macneille', ' charlotte rae']",[],"june 19, 2020",1997,"['action-adventure', ' animation', ' kids']",the dearly family move to a new farm home in the country.,disney_plus
big sur,[],['hector elizondo'],['united states'],"june 19, 2020",2010,"['animals & nature', ' documentary', ' family']",why is california's big sur coastline experiencing an explosion in wildlife?,disney_plus
disney junior muppet babies play date,[],[],[],"june 19, 2020",2018,"['comedy', ' kids']",time for a playdate with the muppet babies!,disney_plus
egypt's treasure guardians,"['ben allen', ' tom jenner']",['dominic frisby'],['united kingdom'],"june 19, 2020",2016,"['documentary', ' historical']","this programme follows a select cast of individuals, determined to bring egypt back from the brink.",disney_plus
the jungle book,['jon favreau'],"['bill murray', ' ben kingsley', ' idris elba', "" lupita nyong'o"", ' scarlett johansson', ' giancarlo esposito']","['united kingdom', ' united states']","june 19, 2020",2016,"['action-adventure', ' coming of age', ' family']",a man-cub who’s been raised by a family of wolves eludes a dangerous tiger.,disney_plus
the pirate fairy,['peggy holmes'],"['mae whitman', ' christina hendricks', ' tom hiddleston', ' lucy liu', ' raven-symoné ', ' megan hilty']",['united states'],"june 19, 2020",2014,"['action-adventure', ' animation', ' family']",tinker bell and friends face the pirates of skull rock to save a friend.,disney_plus
trail mix,['barry cook'],"['charles fleischer', ' kathleen turner', ' april winchell', ' lou hirsch', ' corey burton', ' frank welker']",['united states'],"june 19, 2020",1993,"['action-adventure', ' animation', ' comedy']",roger rabbit is left to care for baby herman in yellowstone national park.,disney_plus
tummy trouble,"['frank marshall', ' rob minkoff']","['charles fleischer', ' april winchell', ' lou hirsch', ' corey burton', ' richard williams', ' kathleen turner']",['united states'],"june 19, 2020",1989,"['action-adventure', ' animation', ' comedy']",roger rabbit is left to babysit with the mischievous baby herman,disney_plus
artemis fowl,['kenneth branagh'],[],['united states'],"june 12, 2020",2020,"['action-adventure', ' crime', ' fantasy']",a descendant of a long line of criminal masterminds seeks to find his father who has disappeared.,disney_plus
mighty med,[],"['bradley perry', ' jake short', ' paris berelc', ' devan leos']",['united states'],"june 12, 2020",2013,"['comedy', ' coming of age', ' medical']","check in to mighty med, the secret superhero hospital.",disney_plus
the liberty story,"['hamilton luske', ' robert stevenson']",['walt disney'],['united states'],"june 12, 2020",1957,"['drama', ' family', ' historical']",walt disney presents segments of america's fight for freedom. see details for advisory.,disney_plus
the story of the animated drawing,"['wilfred jackson', ' william beaudine']",[],['united states'],"june 12, 2020",1955,"['documentary', ' family']",walt disney discusses the history of animation. see details for advisory.,disney_plus
walt & el grupo,['theodore thomas'],[],['united states'],"june 12, 2020",2009,"['documentary', ' historical']",the u.s. government sends walt disney to south america on a goodwill tour.,disney_plus
alaska's grizzly gauntlet,[],['les stroud'],['united states'],"june 5, 2020",2018,"['animals & nature', ' docuseries', ' family']",survival expert les stroud explores the world of alaska’s most formidable wildlife.,disney_plus
america's greatest animals,[],"['bray poor', ' casey anderson', ' brady barr', ' andy casagrande', ' mireya mayor']",['united states'],"june 5, 2020",2012,"['animals & nature', ' documentary', ' family']",nat geo wild goes on a search for america's 'big five.' can america compete with africa's beasts?,disney_plus
chasing the equinox,['kenny scott'],['stefan frank'],[],"june 5, 2020",2019,['documentary'],ancient civilizations shared an incredible knowledge of the sun.,disney_plus
howie mandel's animals doing things,[],['howie mandel'],['united states'],"june 5, 2020",2017,"['animals & nature', ' comedy', ' family']",this show combines howie mandel’s lovable comedic genius with clips of animals doing crazy things.,disney_plus
japan,[],['bray poor'],"['france', ' japan']","june 5, 2020",2017,"['animals & nature', ' docuseries']",japan: between earth and sky reveals the mystery of some the most beautiful sites in the country.,disney_plus
percy jackson & the olympians,['chris columbus'],"['logan lerman', ' brandon t. jackson', ' alexandra daddario', ' sean bean', ' pierce brosnan', ' steve coogan']","['united kingdom', ' canada', ' united states']","june 5, 2020",2010,"['action-adventure', ' family', ' fantasy']",a boy discovers he's the descendant of poseidon and must settle an on-going battle between the gods.,disney_plus
secrets of wild india,[],['david attenborough'],['united kingdom'],"june 5, 2020",2012,"['animals & nature', ' docuseries', ' family']",'secrets of wild india' celebrates the diversity and drama of india's extraordinary landscapes.,disney_plus
the greeks,[],['toby moore'],['united states'],"june 5, 2020",2016,"['docuseries', ' historical']","quite simply, the greeks created our world.",disney_plus
wild hawaii,[],['jk simmons'],['united states'],"june 5, 2020",2014,"['animals & nature', ' docuseries', ' family']",national geographic takes us on an untamed journey to hawaii's remarkable lands.,disney_plus
women of impact,[],['julianna margulies'],['united states'],"june 5, 2020",2019,"['documentary', ' historical']",how will you make the world a better place? hear stories of the amazing women changing our world.,disney_plus
"maggie simpson in ""the longest daycare""",[],[],['united states'],"may 29, 2020",2012,"['animation', ' comedy']","in this oscar-nominated short from the simpsons, maggie navigates an eventful first day at daycare.",disney_plus
mickey and the seal,['charles nichols'],[],['united states'],"may 29, 2020",1948,"['animation', ' family']",mickey and pluto get into trouble with a mischievous seal.,disney_plus
the evermoor chronicles,[],"['naomi sequeira', ' finney cassidy', ' georgia lock', ' jordan loughran', ' george sear', ' georgie farmer']","['united kingdom', ' united states']","may 29, 2020",2015,"['coming of age', ' fantasy', ' mystery']",tara is trying to settle into a strange village.,disney_plus
the moon,['james neilson'],"['hayley mills', ' joan greenwood', ' michael davis', ' irene papas', ' paul stassino', ' eli wallach']",['united states'],"may 29, 2020",1964,"['crime', ' drama', ' mystery']",a teen finds romance and searches for stolen gems during her vacation.,disney_plus
doc mcstuffins,[],"['kiara muhammad', ' jaden betts', ' jess harnell', ' kimberly brooks', ' lara miller', ' loretta devine']","['united states', ' ireland']","may 22, 2020",2011,"['animation', ' kids', ' medical']",doc mcstuffins has a clinic for toys in her playhouse.,disney_plus
fantastic mr. fox,['wes anderson'],"['george clooney', ' meryl streep', ' jason schwartzman', ' bill murray', ' wally wolodarsky', ' eric anderson']","['united states', ' united kingdom']","may 22, 2020",2009,"['animation', ' comedy', ' crime']",mr. fox lives a happy life until he plots the greatest chicken heist the world has ever seen.,disney_plus
"hello, dolly!",['gene kelly'],"['barbara streisand', ' walter matthau', ' michael crawford', ' marianne mcandrew', ' danny lockin', ' e.j. peaker']",['united states'],"may 22, 2020",1969,"['comedy', ' musical', ' romance']",matchmaker dolly levi orchestrates the love lives of her friends while trying to figure out her own.,disney_plus
marvel's future avengers,[],"['英司 花輪', ' 一博 中谷', ' 康之 加瀬', ' 健一郎 松田', ' かおり 水橋', ' 史絵 水沢']",[],"may 22, 2020",2017,"['action-adventure', ' animation', ' anime']",teenagers train to become superheroes.,disney_plus
out,['steven hunter'],"['bernadette sullivan', ' kyle mcdaniel', ' caleb cabrera', ' matthew martin']",['united states'],"may 22, 2020",2020,"['animation', ' family', ' fantasy']","on an average day, greg's life seems ordinary. but today is different - there’s magic in the air.",disney_plus
the big fib,[],[],['united states'],"may 22, 2020",2019,"['family', ' game show / competition']",the big fib is a comedy game show where a truth-seeking kid chooses between a liar and an expert.,disney_plus
the boys,"['jeffrey sherman', ' gregory sherman']",[],['united states'],"may 22, 2020",2009,"['biographical', ' documentary', ' music']","a journey through the lives of the prolific, award-winning songwriting duo.",disney_plus
it's a dog's life with bill farmer,[],['bill farmer'],['united states'],"may 15, 2020",2020,"['animals & nature', ' docuseries', ' family']","as the voice of goofy and pluto, bill farmer crosses the country meeting dogs doing incredible work!",disney_plus
maleficent,['joachim rønning'],"['angelina jolie', ' elle fanning', ' chiwetel ejiofor', ' sam riley', ' harris dickinson', ' ed skrein']","['united states', ' united kingdom', ' canada']","may 15, 2020",2019,"['action-adventure', ' family', ' fantasy']",the story of disney's most iconic villain continues.,disney_plus
star wars,['j.j. abrams'],"['carrie fisher', ' mark hamill', ' adam driver', ' daisy ridley', ' john boyega', ' oscar isaac']",['united states'],"may 4, 2020",2019,"['action-adventure', ' family', ' science fiction']",the landmark skywalker saga comes to a conclusion.,disney_plus
john carter,['andrew stanton'],"['taylor kitsch', ' lynn collins', ' samantha morton', ' mark strong', ' ciarán hinds', ' dominic west']",['united states'],"may 2, 2020",2012,"['action-adventure', ' family', ' fantasy']",a former military captain is inexplicably transported to barsoom (mars).,disney_plus
awesome animals,[],[],[],"may 1, 2020",2017,"['animals & nature', ' docuseries', ' family']",national geographic kids presents a natural history series just for kids.,disney_plus
birth of europe,[],['mark halliley'],['united kingdom'],"may 1, 2020",2014,['docuseries'],birth of europe reveals the extraordinary story of how europe has been created by nature’s forces.,disney_plus
bride of boogedy,['oz scott'],"['richard masur', ' mimi kennedy', ' tammy lauren', ' david faustino', ' joshua rudoy', ' leonard frey']",['united states'],"may 1, 2020",1987,"['action-adventure', ' family', ' fantasy']","mr. boogedy returns, and will not stop until he get his revenge.",disney_plus
buried secrets of the bible with albert lin,[],['albert lin'],[],"may 1, 2020",2019,"['action-adventure', ' docuseries', ' historical']",albert lin investigates two great stories of the bible.,disney_plus
disney prop culture,[],['daniel lanigan'],['united states'],"may 1, 2020",2020,['docuseries'],"collector dan lanigan reunites iconic disney movie props with filmmakers, actors, and crew.",disney_plus
george of the jungle,['sam weisman'],"['brendan fraser', ' leslie mann', ' thomas church', ' richard roundtree', ' greg cruttwell', ' abraham benrubi']",['united states'],"may 1, 2020",1997,"['action-adventure', ' comedy', ' family']","a baby raised by gorillas grows up to be a lovable, vine-swinging klutz.",disney_plus
homeward bound ii,['david ellis'],"['robert hays', ' kim greist', ' veronica lauren', ' kevin chevalia', ' benj thall', ' max perlich']",['united states'],"may 1, 2020",1996,"['action-adventure', ' animals & nature', ' family']",three lost pets must navigate through san francisco to find their way home.,disney_plus
homeward bound,['duwayne dunham'],"['robert hays', ' kim greist', ' jean smart', ' veronica lauren', ' kevin chevalia', ' benj thall']",['united states'],"may 1, 2020",1993,"['action-adventure', ' animals & nature', ' family']",two dogs and a cat embark on a great american journey to find their owners.,disney_plus
how to play baseball,['jack kinney'],[],['united states'],"may 1, 2020",1942,"['animation', ' family', ' sports']",goofy teaches you all about this all-american pastime.,disney_plus
in beaver valley,['james algar'],['winston hibler'],['united states'],"may 1, 2020",1950,"['animals & nature', ' documentary', ' family']",a young male beaver races to build his new family a home before winter. see details for advisory.,disney_plus
lost treasures of egypt,[],['rick robles'],['united kingdom'],"may 1, 2020",2018,"['docuseries', ' historical']","an immersive, discovery-led series following teams of archaeologists in egypt.",disney_plus
love & vets,[],['mallory kasdan'],['united states'],"may 1, 2020",2017,"['animals & nature', ' docuseries', ' family']",we watch as doctors will and fran divide and conquer to treat the steady flow of claw-clad patients.,disney_plus
nature's half acre,['james algar'],['winston hibler'],['united states'],"may 1, 2020",1951,"['animals & nature', ' documentary', ' family']",the strange and wonderful world that lies beneath our feet. see details for advisory.,disney_plus
prairie dog manor,[],['kevin conway'],['united states'],"may 1, 2020",2019,"['animals & nature', ' docuseries', ' reality']",each episode takes the audience on a first-person journey following a few of the prairie dogs.,disney_plus
prowlers of the everglades,['james algar'],[],['united states'],"may 1, 2020",1953,"['animals & nature', ' documentary']","a primeval reptile stalks its prey in ""the swamp that time forgot."" see details for advisory.",disney_plus
the princess bride,['rob reiner'],"['cary elwes', ' mandy patinkin', ' chris sarandon', ' christopher guest', ' wallace shawn', ' andre the giant']","['united kingdom', ' united states']","may 1, 2020",1987,"['action-adventure', ' comedy', ' family']",a man regales his ailing grandson with a tale of romance and adventure in a lighthearted fairy tale.,disney_plus
united states of animals,[],['quincy dunn-baker'],['united states'],"may 1, 2020",2015,"['animals & nature', ' docuseries', ' family']",united states of animals takes you on a fascinating journey across the united states.,disney_plus
unlikely animal friends,[],['mark keller'],['united states'],"may 1, 2020",2012,"['animals & nature', ' docuseries', ' family']",this series reveals the stories of unlikely duos that have struck up unusual relationships.,disney_plus
water birds,['ben sharpsteen'],['winston hibler'],['united states'],"may 1, 2020",1952,"['animals & nature', ' documentary', ' family']",experience the beauty and variety of majestic water birds. see details for advisory.,disney_plus
national treasure,['jon turteltaub'],"['nicolas cage', ' jon voight', ' harvey keitel', ' diane kruger', ' sean bean', ' justin bartha']",['united states'],"april 30, 2020",2004,"['action-adventure', ' mystery', ' thriller']",a treasure hunter must steal america's most sacred and guarded document.,disney_plus
born wild,['liliana olszewski'],['robin roberts'],['united states'],"april 28, 2020",2020,"['animals & nature', ' documentary']",born wild: the next generation gives viewers a look at our planet’s next generation of baby animals.,disney_plus
america's funniest home videos,[],['tom bergeron'],['united states'],"april 24, 2020",1989,"['comedy', ' family', ' fantasy']",home videos compete for cash prizes. program is presented as originally created.,disney_plus
the olympic elk,['james algar'],['winston hibler'],['united states'],"april 24, 2020",1952,"['animals & nature', ' documentary', ' family']",olympic elk trek toward the fertile grazing grounds of mount olympus. see details for advisory.,disney_plus
tangled,[],"['zachary levi', ' mandy moore', ' eden espinosa', ' clancy brown']",['united states'],"april 23, 2020",2016,"['action-adventure', ' animation', ' comedy']",rapunzel must discover the secret of her hair.,disney_plus
jane goodall,"['elizabeth leiter', ' kimberly woodard']",['jane goodall'],['united states'],"april 22, 2020",2020,"['biographical', ' documentary']",jane goodall continues her lifetime of activism by continuously spreading a message of hope.,disney_plus
brain games,[],['neil harris'],['united states'],"april 17, 2020",2011,"['docuseries', ' family', ' game show / competition']",brain games features games & experiments revealing the science of how your brain works.,disney_plus
disney mickey and the roadster racers,[],"['tress macneille', ' corey burton', ' bret iwan', ' russi taylor', ' bill farmer', ' daniel ross']",[],"april 17, 2020",2017,"['action-adventure', ' animation', ' buddy']",chip and dale set off on nutty adventures!,disney_plus
let's stick together,['jack hannah'],[],['united states'],"april 17, 2020",1952,"['animation', ' family']","spike, an old honey bee, recounts working with donald in the good ol' days.",disney_plus
