title,director,cast,country,date_added,release_year,listed_in,description,platform
paperman,['john kahrs'],"['john kahrs', ' kari wahlgren']",['united states'],"november 12, 2021",2012,"['animation', ' comedy', ' family']",a young man strives to find girl of his dreams.,disney_plus
pixar 2021 disney+ day special,[],"['pete docter', ' larry the cable guy', ' jack dylan grazer', ' domee shi', ' angus maclane']",[],"november 12, 2021",2021,['movies'],join pete docter for a tour around pixar and get a sneak peek at several upcoming disney+ releases.,disney_plus
shang,['destin daniel cretton'],"['simu liu', ' awkwafina', ' tony leung', ' michelle yeoh', "" meng'er zhang"", ' ben kingsley']","['united states', ' australia']","november 12, 2021",2021,"['action-adventure', ' fantasy', ' superhero']","shang-chi must confront his father, leader of the ten rings organization.",disney_plus
spin,['manjari makijany'],"['avantika', ' michael bishop', ' anna cathcart', ' jahbril cook', ' kerri medders', ' aryan simhadri']",[],"november 12, 2021",2021,"['coming of age', ' music']",rhea discovers her passion for creating dj mixes!,disney_plus
tangled ever after,"['nathan greno', ' byron howard']","['mandy moore', ' zachary levi', ' alan dale', ' paul f. tompkins', ' kari wahlgren', ' mark allen stewart']",['united states'],"november 12, 2021",2012,"['animation', ' family']",it's up to max and pascal to save the royal wedding.,disney_plus
the ballad of nessie,"['stevie wermers-skelton', ' kevin deters']",['billy connolly'],[],"november 12, 2021",2011,"['animation', ' family', ' fantasy']",a colorful tale about the friendly loch ness monster.,disney_plus
the little matchgirl,['roger allers'],[],['united states'],"november 12, 2021",2006,"['animation', ' drama']",a poor matchgirl sees happy images in the flames of her matches.,disney_plus
the making of happier than ever,['david clair'],"['billie eilish', ' finneas', ' gustavo dudamel', ' patrick osborne', ' robert rodriguez']",[],"november 12, 2021",2021,"['concert film', ' music']","go behind the scenes of ""happier than ever: a love letter to los angeles.""",disney_plus
the proud family,[],"['kyla pratt', ' tommy davidson', ' paula jai parker', ' jomarie payton', ' cedric the entertainer']",[],"november 12, 2021",2021,"['animation', ' comedy', ' coming of age']","""the proud family: louder and prouder"" follows penny proud and her family. coming in february 2022.",disney_plus
the simpsons in plusaversary,['david silverman'],"['dan castellaneta', ' nancy cartwright', ' yeardley smith', ' tress macneille', ' hank azaria']",[],"november 12, 2021",2021,"['animation', ' comedy']",celebrate disney+ day with the simpsons and their friends from across the service.,disney_plus
tick tock tale,['dean wellins'],[],['united states'],"november 12, 2021",2010,"['animation', ' crime', ' family']",a tale of a quirky mantle clock.,disney_plus
under the helmet,[],[],[],"november 12, 2021",2021,['science fiction'],"a special celebrating the origins and legacy of star wars’ legendary bounty hunter, boba fett.",disney_plus
willow,[],[],[],"november 12, 2021",2021,"['action-adventure', ' fantasy']","meet the cast of the all-new disney+ fantasy-adventure series ""willow."" coming to disney+ in 2022.",disney_plus
alvin and the chipmunks,['mike mitchell'],"['jason lee', ' david cross', ' jenny slate', ' justin long', ' matthew gray gubler', ' jesse mccartney']",['united states'],"november 5, 2021",2011,"['comedy', ' family', ' music']",the chipmunks and chipettes get stranded on a remote island – or so it would seem.,disney_plus
jingle all the way,['brian levant'],"['arnold schwarzenegger', ' sinbad', ' phil hartman', ' rita wilson', ' robert conrad', ' martin mull']",['united states'],"november 5, 2021",1996,"['comedy', ' family']",a father's christmas eve turns into a madcap scramble to find a much sought-after toy for his son.,disney_plus
jingle all the way 2,['alex zamm'],"['larry the cable guy', ' brian stepanek', ' santino marella', ' kennedi clements', ' kirsten robek', ' rachel hayward']",['united states'],"november 5, 2021",2014,"['comedy', ' family']",two dads compete to be the best father and make christmas amazing!,disney_plus
prep & landing,"['kevin deters', ' stevie wermers-skelton']","['betty white', ' dave foley', ' derek richardson', ' sarah chalke', ' w. morgan sheppard']",[],"november 5, 2021",2010,"['animation', ' family', ' fantasy']",mrs. claus enlists two elves in a secret mission.,disney_plus
santa buddies,['robert vince'],"['christopher lloyd', ' danny woodburn', ' craig anton', ' michael teigen', ' ben giroux', ' paul rae']","['united states', ' canada']","november 5, 2021",2009,"['comedy', ' fantasy', ' kids']","the buddies remind santa paws' feisty son, puppy paws, about the true meaning of christmas.",disney_plus
snow buddies,['robert vince'],"['dominic scott kay', ' john kapelos', ' lise simms', ' mike dopud', ' charles c. stevenson jr.', ' dylan minnette']",['united states'],"november 5, 2021",2008,"['action-adventure', ' comedy', ' kids']",disney’s favorite talking pups put one paw in front of the other in a thrilling alaskan adventure.,disney_plus
space buddies,['robert vince'],"['f.t. anderson', ' diedrich bader', ' field cate', ' kendall cross', ' mike dopud', ' mark downey']","['united states', ' canada']","november 5, 2021",2009,"['action-adventure', ' comedy', ' kids']","disney's most adventurous talking pups take one small step for dog, one giant leap for dogkind.",disney_plus
the search for santa paws,['robert vince'],"['resse alexander', ' diedrich bader', ' sahar biniaz', ' jan boss', ' ameko eks mass carroll', ' melody choi']",['canada'],"november 5, 2021",2010,"['drama', ' family', ' fantasy']",discover how the legendary friendship of santa claus and santa paws began.,disney_plus
x,['matthew vaughn'],"['james mcavoy', ' michael fassbender', ' rose byrne', ' jennifer lawrence', ' january jones', ' nicholas hoult']","['united states', ' united kingdom']","november 5, 2021",2011,"['action-adventure', ' science fiction', ' superhero']","following the classic mythology, x-men: first class charts the epic beginning of the x-men saga.",disney_plus
disney amphibia,[],"['justin felbinger', ' amanda leighton', ' bill farmer', ' brenda song']","['united states', ' south korea']","november 3, 2021",2018,"['animation', ' comedy', ' family']",anne boonchuy is transported to the world of amphibia.,disney_plus
photo ark,[],['joel sartore'],['united states'],"november 3, 2021",2017,"['animals & nature', ' docuseries', ' family']",national geographic photographer joel sartore photographs some of the rarest animals in the world.,disney_plus
storm rising,[],[],[],"november 3, 2021",2021,"['action-adventure', ' animals & nature', ' docuseries']",storm chasers reed timmer and mike theiss track and study a new category of deadly storms.,disney_plus
bob ballard,[],[],[],"october 29, 2021",2021,"['biographical', ' documentary']","an intimate portrait of bob ballard, the legendary explorer who found the titanic.",disney_plus
"mcfarland, usa",['niki caro'],"['kevin costner', ' maria bello', ' morgan saylor', ' martha higareda', ' michael aguero', ' sergio avelar']",['united states'],"october 29, 2021",2015,"['drama', ' sports']",a coach guides underdogs past tremendous obstacles to become champions.,disney_plus
rookie of the year,['daniel stern'],"['thomas ian nicholas', ' gary busey', ' albert hall', ' amy morton', ' dan hedaya', ' eddie bracken']",['united states'],"october 22, 2021",1993,"['comedy', ' family', ' sports']","a 12-year-old boy can throw a 100 mph fastball, and the chicago cubs want him as their new pitcher!",disney_plus
thumbelina,"['don bluth', ' gary goldman']","['gino conforti', ' barbara cook', ' jodi benson', ' will ryan', ' june foray', ' kenneth mars']","['ireland', ' united states', ' canada', ' united kingdom', ' denmark', ' spain', ' poland', ' hungary']","october 22, 2021",1994,"['animation', ' family', ' fantasy']",a digit-sized heroine evades the clutches of various creatures so she can reunite with her prince.,disney_plus
pj masks,[],"['kyle breitkopf', ' jacob ursomarzo', ' addison holley']","['france', ' united kingdom']","october 20, 2021",2015,"['action-adventure', ' animation', ' kids']",look out night time baddies the pj masks are coming!,disney_plus
the wild life of dr. ole,[],[],[],"october 20, 2021",2021,"['animals & nature', ' reality']","doc ole practices his unique brand of animal care with wit, expertise and insight.",disney_plus
lost cities with albert lin,['jim greayer'],['dr. albert yu-min lin'],[],"october 15, 2021",2021,"['documentary', ' historical']",albert lin is on a global quest to find the origins of great flood stories.,disney_plus
megacity of the maya warriors,['ben crichton'],['albert lin'],[],"october 15, 2021",2021,['documentary'],albert lin sets out to solve an ancient mystery and find a lost maya city.,disney_plus
apollo,[],"['bill anders', ' jack clemons', ' fred haise', ' glynn lunney', ' jay barbree', ' brad vinikow']",[],"october 13, 2021",2019,"['docuseries', ' historical']","follow the apollo lunar landing program from the inside, as never shown before.",disney_plus
